Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,3,3,29,6,0,120.352,120.380,120.306,120.376,1909.000,
EURJPY,2017,3,3,29,5,30,120.431,120.439,120.342,120.352,2463.000,
EURJPY,2017,3,3,29,5,0,120.357,120.437,120.336,120.433,3192.000,
EURJPY,2017,3,3,29,4,30,120.217,120.360,120.198,120.358,2888.000,
EURJPY,2017,3,3,29,4,0,120.184,120.250,120.181,120.217,3176.000,
EURJPY,2017,3,3,29,3,30,120.273,120.280,120.124,120.185,3763.000,
EURJPY,2017,3,3,29,3,0,120.302,120.302,120.186,120.274,3478.000,
EURJPY,2017,3,3,29,2,30,120.186,120.356,120.166,120.301,3311.000,
EURJPY,2017,3,3,29,2,0,120.166,120.237,120.159,120.185,2486.000,
EURJPY,2017,3,3,29,1,30,120.129,120.190,120.118,120.167,1427.000,
EURJPY,2017,3,3,29,1,0,120.103,120.168,120.081,120.128,1603.000,
EURJPY,2017,3,3,29,0,30,120.088,120.113,120.061,120.102,1194.000,
EURJPY,2017,3,3,29,0,0,120.132,120.139,120.073,120.089,589.000,
EURJPY,2017,3,2,28,23,30,120.140,120.202,120.135,120.167,1704.000,
EURJPY,2017,3,2,28,23,0,120.130,120.169,120.092,120.141,1554.000,
EURJPY,2017,3,2,28,22,30,120.158,120.186,120.127,120.133,2779.000,
EURJPY,2017,3,2,28,22,0,120.069,120.171,120.024,120.160,2948.000,
EURJPY,2017,3,2,28,21,30,120.071,120.106,120.012,120.069,4111.000,
EURJPY,2017,3,2,28,21,0,120.127,120.130,119.962,120.070,6310.000,
EURJPY,2017,3,2,28,20,30,119.934,120.130,119.907,120.128,4874.000,
EURJPY,2017,3,2,28,20,0,119.866,120.006,119.865,119.933,3543.000,
EURJPY,2017,3,2,28,19,30,119.949,119.957,119.843,119.868,3704.000,
EURJPY,2017,3,2,28,19,0,119.971,120.050,119.943,119.959,4055.000,
EURJPY,2017,3,2,28,18,30,119.873,119.988,119.856,119.971,4091.000,
EURJPY,2017,3,2,28,18,0,119.823,119.914,119.796,119.872,6446.000,
EURJPY,2017,3,2,28,17,30,119.835,119.888,119.750,119.823,6304.000,
EURJPY,2017,3,2,28,17,0,119.841,119.932,119.757,119.836,6976.000,
EURJPY,2017,3,2,28,16,30,119.813,119.875,119.729,119.843,5814.000,
EURJPY,2017,3,2,28,16,0,119.793,119.834,119.692,119.812,3651.000,
EURJPY,2017,3,2,28,15,30,119.819,119.821,119.720,119.795,4127.000,
EURJPY,2017,3,2,28,15,0,119.869,119.869,119.729,119.819,5126.000,
EURJPY,2017,3,2,28,14,30,119.882,119.906,119.785,119.867,4026.000,
EURJPY,2017,3,2,28,14,0,120.007,120.007,119.865,119.882,3476.000,
EURJPY,2017,3,2,28,13,30,120.105,120.137,120.006,120.007,2618.000,
EURJPY,2017,3,2,28,13,0,120.197,120.209,120.097,120.105,2062.000,
EURJPY,2017,3,2,28,12,30,120.144,120.252,120.143,120.196,2777.000,
EURJPY,2017,3,2,28,12,0,120.187,120.208,120.127,120.144,2896.000,
EURJPY,2017,3,2,28,11,30,120.046,120.203,120.032,120.191,3564.000,
EURJPY,2017,3,2,28,11,0,120.181,120.210,119.986,120.045,4295.000,
EURJPY,2017,3,2,28,10,30,120.117,120.194,120.055,120.181,3952.000,
EURJPY,2017,3,2,28,10,0,120.161,120.184,120.054,120.118,4726.000,
EURJPY,2017,3,2,28,9,30,120.150,120.194,120.095,120.162,3432.000,
EURJPY,2017,3,2,28,9,0,120.194,120.210,120.119,120.150,4179.000,
EURJPY,2017,3,2,28,8,30,120.199,120.238,120.155,120.192,2695.000,
EURJPY,2017,3,2,28,8,0,120.139,120.205,120.116,120.198,1778.000,
EURJPY,2017,3,2,28,7,30,120.109,120.174,120.107,120.136,1615.000,
EURJPY,2017,3,2,28,7,0,120.129,120.177,120.102,120.108,1871.000,
EURJPY,2017,3,2,28,6,30,120.120,120.143,120.083,120.128,1775.000,
EURJPY,2017,3,2,28,6,0,120.148,120.171,120.114,120.122,1866.000,
EURJPY,2017,3,2,28,5,30,120.207,120.207,120.127,120.147,1902.000,
EURJPY,2017,3,2,28,5,0,120.165,120.216,120.143,120.206,2233.000,
EURJPY,2017,3,2,28,4,30,120.157,120.207,120.133,120.163,2526.000,
EURJPY,2017,3,2,28,4,0,120.140,120.167,120.083,120.158,3056.000,
EURJPY,2017,3,2,28,3,30,120.315,120.382,120.116,120.140,3483.000,
EURJPY,2017,3,2,28,3,0,120.293,120.381,120.281,120.317,2962.000,
EURJPY,2017,3,2,28,2,30,120.263,120.379,120.256,120.295,2407.000,
EURJPY,2017,3,2,28,2,0,120.176,120.270,120.157,120.262,1329.000,
EURJPY,2017,3,2,28,1,30,120.209,120.213,120.135,120.176,1121.000,
EURJPY,2017,3,2,28,1,0,120.188,120.231,120.183,120.212,1236.000,
EURJPY,2017,3,2,28,0,30,120.138,120.200,120.134,120.185,1175.000,
EURJPY,2017,3,2,28,0,0,120.214,120.230,120.104,120.137,907.000,
EURJPY,2017,3,1,27,23,30,120.201,120.223,120.172,120.200,1212.000,
EURJPY,2017,3,1,27,23,0,120.172,120.238,120.170,120.203,1598.000,
EURJPY,2017,3,1,27,22,30,120.157,120.196,120.136,120.175,3055.000,
EURJPY,2017,3,1,27,22,0,120.154,120.201,120.120,120.156,2625.000,
EURJPY,2017,3,1,27,21,30,120.135,120.166,120.105,120.155,2336.000,
EURJPY,2017,3,1,27,21,0,120.155,120.189,120.094,120.135,2822.000,
EURJPY,2017,3,1,27,20,30,120.165,120.197,120.116,120.154,2849.000,
EURJPY,2017,3,1,27,20,0,120.119,120.233,120.119,120.167,3601.000,
EURJPY,2017,3,1,27,19,30,120.137,120.172,120.093,120.121,3972.000,
EURJPY,2017,3,1,27,19,0,120.205,120.227,120.119,120.135,3847.000,
EURJPY,2017,3,1,27,18,30,120.295,120.314,120.188,120.203,4687.000,
EURJPY,2017,3,1,27,18,0,120.221,120.299,120.156,120.294,5625.000,
EURJPY,2017,3,1,27,17,30,120.104,120.226,120.032,120.222,6167.000,
EURJPY,2017,3,1,27,17,0,120.058,120.170,120.024,120.103,5944.000,
